0	-nan	-nan	-nan
128	0.000266595	0.000293863	-2.70091e-07
256	0.000356013	0.000401366	1.45336e-06
384	0.000419878	0.00048546	-3.76643e-06
512	0.000468198	0.000558424	-3.19517e-06
640	0.000524473	0.000624799	-2.87812e-06
768	0.000547984	0.000668301	-2.82559e-06
896	0.000592626	0.0007126	4.9333e-07
1024	0.00061021	0.000769144	-2.53812e-06
1152	0.000638219	0.000772918	-4.41676e-06
1280	0.000663086	0.000755522	6.67252e-08
1408	0.000673732	0.000790706	-6.38099e-06
1536	0.000694403	0.000821231	3.69355e-06
1664	0.00069998	0.000831394	-1.88204e-06
1792	0.000682304	0.000837954	-8.4456e-07
1920	0.000713296	0.000881204	-8.6445e-07
2048	0.000730641	0.000888663	1.73462e-06
2176	0.000744373	0.00089263	2.09144e-06
2304	0.000758924	0.000919134	1.4283e-06
2432	0.00078627	0.000952286	-1.95909e-06
2560	0.000789035	0.000988585	-1.59454e-08
2688	0.000792414	0.000998994	5.95104e-06
2816	0.000819396	0.00108367	2.14744e-06
2944	0.000852618	0.00112478	-4.13182e-06
3072	0.000834903	0.0010456	-2.6073e-06
3200	0.000839947	0.00105414	1.55996e-06
3328	0.000853242	0.00106854	-2.44674e-06
3456	0.000871459	0.0011206	2.79421e-06
3584	0.000870296	0.00109963	1.62293e-06
3712	0.000890546	0.00109036	3.07237e-06
3840	0.000900334	0.0011356	-6.47695e-06
3968	0.000893343	0.00116458	5.95345e-07
4096	0.000903659	0.00112901	-1.51405e-06
4224	0.000896986	0.00110629	-7.59391e-07
4352	0.000876391	0.00113044	1.48503e-07
4480	0.000893262	0.0011848	1.9813e-07
4608	0.000899827	0.00121027	2.19456e-06
4736	0.000922352	0.00126048	1.67422e-06
4864	0.000949192	0.00133681	5.78117e-06
4992	0.000955086	0.00132275	-4.59518e-07
5120	0.000947346	0.00123947	4.77979e-07
5248	0.000964359	0.00128857	2.03804e-06
5376	0.00097673	0.00134449	3.22529e-06
5504	0.00100905	0.00130646	-1.17784e-06
5632	0.00102151	0.00132861	-8.24039e-07
5760	0.00103002	0.00136176	7.18514e-07
5888	0.0010185	0.0013727	6.62893e-07
6016	0.00102286	0.00139927	-2.07347e-06
6144	0.00101245	0.00136732	9.21334e-07
6272	0.00101482	0.00133038	1.17669e-06
6400	0.00102614	0.00136162	-2.85967e-07
6528	0.00103428	0.00132228	-1.96495e-06
6656	0.00105538	0.00133174	-9.3458e-07
6784	0.00106359	0.00134105	9.9688e-07
6912	0.00107314	0.00139754	-2.05184e-06
7040	0.0010661	0.00134605	1.39407e-06
7168	0.00104084	0.00135316	-1.52272e-06
7296	0.00103719	0.0013634	3.36507e-07
7424	0.00105463	0.00135136	2.54051e-06
7552	0.00107177	0.00136472	1.85202e-06
7680	0.00105357	0.00125303	3.78317e-06
7808	0.0010202	0.00118702	5.06082e-07
7936	0.00106088	0.00124905	-1.89497e-06
8064	0.00107644	0.00130184	-1.40326e-06
8192	0.00110174	0.00136673	5.43912e-06
8320	0.00113233	0.00142404	7.38965e-07
8448	0.00114513	0.00143216	-1.87503e-06
8576	0.00114661	0.00146096	1.90623e-06
8704	0.00119182	0.00152208	6.14211e-07
8832	0.00120779	0.00146068	9.05142e-08
8960	0.00119916	0.00149747	4.38615e-06
9088	0.00119346	0.00145534	-8.24199e-07
9216	0.00120998	0.00152142	-8.80154e-07
9344	0.00122755	0.00147773	-3.86473e-06
9472	0.00123641	0.00152982	-1.95487e-06
9600	0.00122562	0.00157422	-1.5968e-07
9728	0.00123454	0.00157503	1.51704e-06
9856	0.00122888	0.00155191	4.3671e-06
9984	0.00124467	0.00153693	4.12091e-06
10112	0.00126121	0.00162231	1.23189e-06
10240	0.00126997	0.00162089	-1.78496e-06
10368	0.00126296	0.00168765	7.29007e-07
10496	0.00126681	0.00161458	5.22598e-06
10624	0.00128465	0.00174058	1.53618e-06
10752	0.0012525	0.00165615	1.58693e-06
10880	0.00125053	0.00163086	1.32035e-06
11008	0.00124014	0.0016552	-1.5095e-06
11136	0.00129254	0.00165892	3.22077e-06
11264	0.00132758	0.00174099	2.03948e-06
11392	0.00135857	0.00176346	-1.03959e-06
11520	0.00138886	0.00181533	1.17033e-06
11648	0.00133286	0.00171268	2.76917e-07
11776	0.00132336	0.00176866	-3.21839e-07
11904	0.00131965	0.00181157	-5.57606e-07
12032	0.00132022	0.00173388	-3.0492e-06
12160	0.00134446	0.00170732	-2.2005e-06
12288	0.00133766	0.00166905	-3.84246e-06
12416	0.00135414	0.00173388	3.76795e-07
12544	0.00135455	0.00174904	1.6179e-07
12672	0.00134473	0.00176813	2.43987e-06
12800	0.00132948	0.00170197	-2.32453e-06
12928	0.00134201	0.00172297	-3.54504e-06
13056	0.00136516	0.00176199	4.64254e-08
13184	0.00130085	0.00167418	1.48669e-06
13312	0.00132191	0.00170202	-1.99322e-07
13440	0.00132288	0.00166368	-3.57866e-06
13568	0.00133706	0.00169117	-4.55173e-07
13696	0.00134575	0.00169853	1.7318e-06
13824	0.00134063	0.00167984	4.78556e-07
13952	0.00136597	0.00172478	-6.2087e-09
14080	0.00135695	0.00172407	-1.4775e-06
14208	0.00134108	0.00174149	3.62374e-06
14336	0.0013356	0.0017332	-2.20965e-06
14464	0.0013591	0.00172386	1.84081e-06
14592	0.00132661	0.0017003	-1.75268e-06
14720	0.00132892	0.00170783	-2.94844e-07
14848	0.00132838	0.00173607	6.45526e-08
14976	0.00132518	0.00175785	4.46483e-07
15104	0.00133837	0.00180228	4.31307e-06
15232	0.00132023	0.0018679	-1.2739e-06
15360	0.00130333	0.00186118	-4.76958e-07
15488	0.00127884	0.00180433	2.15513e-06
